,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29479,22978608,Bright and quiet home in Dalston / Stoke Newington,42757448,Marco & Francesca,,Hackney,51.55256,-0.07778,Entire home/apt,115,3,9,9/7/2020,0.21,1,0,0,
34460,26747963,Family Friendly Flat in London Fields,184456165,Susana,,Hackney,51.54419,-0.05642,Entire home/apt,115,5,8,7/29/2019,0.31,1,0,0,
70596,52155424,Modern Studio Apartment,276885304,Mihaly,,Hackney,51.52531599,-0.077576955,Entire home/apt,115,1,0,,,15,340,0,
53803,41041120,Perfect Flat space for 2 - Studio - CC,48165024,Capital Residencies,,Kensington and Chelsea,51.49248,-0.16843,Entire home/apt,115,2,0,,,318,92,0,
26058,21101982,Stylish Open Plan 1-Bedroom Flat in Notting Hill,155647,Axel,,Kensington and Chelsea,51.518,-0.209,Entire home/apt,115,2,2,11/23/2017,0.04,1,0,0,
4717,4983750,Modern garden flat in East London,7547731,Natasha,,Hackney,51.53617,-0.07129,Entire home/apt,116,7,14,3/24/2016,0.25,1,0,0,
36108,27915257,Spacious 2 Bedroom Apartment in Notting Hill,210869992,John,,Kensington and Chelsea,51.5182,-0.20293,Entire home/apt,116,2,5,11/19/2018,0.14,1,0,0,
5559,6009520,"Bright, Top-Floor Retreat Close to Shoreditch",1625728,Bryn,,Hackney,51.53911,-0.07789,Entire home/apt,116,2,9,6/10/2018,0.13,1,0,0,
42811,33440760,Unique Hideaway in the heart of Westbourne Grove!,34197258,Nadia,,Kensington and Chelsea,51.5131,-0.20019,Entire home/apt,116,2,21,8/3/2021,0.82,4,329,4,
21795,18742426,Stunning Earl's Court Apartment With Balcony,130086562,Alastair,,Kensington and Chelsea,51.49154,-0.19807,Entire home/apt,116,2,13,6/25/2018,0.25,1,0,0,
40369,31424033,SAFE AND CLEAN APARTMENT - OPPOSITE ACE HOTEL,235273250,Julia,,Hackney,51.52564,-0.0779,Entire home/apt,116,2,33,6/18/2021,1.39,7,313,5,
27813,21940562,Cozy & modern 1BR flat in the heart of Shoreditch,45644719,Chi Yan,,Hackney,51.52613,-0.08044,Entire home/apt,116,1,6,5/25/2018,0.13,1,0,0,
68612,51318693,En-suite Garden Room in Oldest House of Kensington,117051575,Nobel,,Kensington and Chelsea,51.50198,-0.20311,Private room,116,1,0,,,5,365,0,
1235,777489,Beautiful Notting Hill Garden Apartment,3497149,Peter,,Kensington and Chelsea,51.51438,-0.21112,Entire home/apt,116,3,50,10/29/2019,0.55,1,9,3,
42046,32805354,Idyllic mezzanine flat near upmarket Kensington,224930553,Richard,,Kensington and Chelsea,51.49108,-0.19721,Entire home/apt,116,3,5,4/16/2019,0.16,10,61,0,
45441,35544325,Sleek and Modern 2 Double Bedroom Flat in Hoxton,267424018,Dave,,Hackney,51.53466,-0.0824,Entire home/apt,116,2,12,10/1/2019,0.45,1,0,0,
2285,2039984,V.Cool 2 dble Bed Victorian Apartm,9445299,Jamie,,Hackney,51.54269,-0.04481,Entire home/apt,116,4,3,6/25/2015,0.03,1,0,0,
20882,18149949,NEXT TO SLOANE SQUARE SUPERIOR STUDIO IN CHELSEA,123548209,Irmak (MAC),,Kensington and Chelsea,51.49209,-0.16661,Entire home/apt,116,3,6,7/4/2017,0.11,46,0,0,
25353,20684536,Bright and modern flat in Shoreditch,26243370,Orane,,Hackney,51.53381,-0.07958,Entire home/apt,116,4,1,9/22/2017,0.02,2,0,0,
60687,46007167,Sonder *Weekly Discounts* Private Room at Kensington Prince of Wales,224866971,Sonder (London),,Kensington and Chelsea,51.50057,-0.18686,Private room,117,2,6,8/23/2021,0.68,138,196,6,
51392,39585174,Private Family Room with Ensuite Bath in Hostel,304028881,Safestay,,Kensington and Chelsea,51.50683,-0.20387,Private room,117,1,0,,,14,355,0,
63356,48667774,Central London Old Street Flats by EveryWhere to Sleep London F8,363308515,Sara,,Hackney,51.52677,-0.08604,Private room,117,2,2,4/15/2021,0.38,70,279,2,
6106,6523667,Great 2 Bedroom house in Hackney,34091698,Vicki,,Hackney,51.56338,-0.05401,Entire home/apt,117,1,0,,,2,0,0,
4796,5069041,Kensington Cottage,26176019,Abby And Toby,,Kensington and Chelsea,51.49886,-0.18781,Entire home/apt,117,2,6,1/1/2017,0.09,1,0,0,
66016,50206304,Stunning one bedroom in top location,348556006,Canguro Properties,,Kensington and Chelsea,51.498001,-0.180023,Entire home/apt,117,1,1,6/10/2021,0.32,17,307,1,
27748,21907977,In the Heart of Kensington - Bright & Spacious,159848121,S+T,,Kensington and Chelsea,51.50426,-0.1953,Entire home/apt,117,2,62,7/12/2021,1.39,1,353,11,
57918,44058325,Stunning 2BD in Notting Hill,9793975,Enno,,Kensington and Chelsea,51.5115,-0.20274,Entire home/apt,117,5,1,8/12/2021,1.0,1,71,1,
63392,48674665,Hoxton Studios by EveryWhere to Sleep London F1,363308515,Sara,,Hackney,51.52922,-0.07631,Private room,117,2,2,5/9/2021,0.37,70,332,2,
35903,27753907,Bright luxury loft with City view,1770960,Emma,,Hackney,51.53827,-0.05673,Entire home/apt,117,2,8,7/14/2019,0.22,2,0,0,
4539,4799641,Bright and modern apartment in the heart of London,402191311,GuestReady,,Hackney,51.52524,-0.07992,Entire home/apt,117,2,109,9/4/2021,1.4,131,176,2,
21593,18631628,Unbeatable Location- Superhost!,5759244,Alejandra,,Kensington and Chelsea,51.49126,-0.15961,Entire home/apt,117,5,1,7/6/2017,0.02,1,0,0,
34197,26505485,Family Standard Ensuite Room@ St Simeon,199301998,George,,Kensington and Chelsea,51.49169,-0.18734,Private room,117,1,14,12/22/2019,0.37,8,277,0,
11385,10817450,Luxury Central London Hyde Park Apartment,23234040,Home Host,,Kensington and Chelsea,51.49544,-0.18339,Entire home/apt,117,4,40,8/23/2019,0.63,50,23,0,
16454,14720799,Beautiful Maisonette in the Heart of Hackney,13862012,Jennifer,,Hackney,51.55579,-0.07741,Entire home/apt,117,2,53,8/22/2021,1.16,3,0,2,
39848,30929330,Delightful Kensington Home close to Hyde Park,105564995,UnderTheDoormat,,Kensington and Chelsea,51.49905,-0.19714,Entire home/apt,117,1,6,10/5/2019,0.21,47,43,1,
69435,51631708,"Affordable family room for 4 in Kensington, London",288496523,Pritam,,Kensington and Chelsea,51.4941032,-0.18951425,Private room,117,1,3,8/21/2021,3.0,8,363,3,
6685,6944236,Amazing Room in Central London,7061101,Louise Karolina,,Kensington and Chelsea,51.48144,-0.1835,Private room,117,4,1,7/2/2017,0.02,1,364,0,
21018,18219046,"STUDIO APARTMENT IN NELL GWYNN HOUSE "".",123548209,Irmak (MAC),,Kensington and Chelsea,51.49222,-0.1643,Entire home/apt,118,3,6,1/2/2018,0.11,46,0,0,
41557,32424132,Explore the city from a relaxing apartment.,9173884,Miss,,Kensington and Chelsea,51.49345,-0.19394,Entire home/apt,118,2,2,4/2/2019,0.07,1,0,0,
21358,18455086,Spacious and Charming one bedroom flat in Chelsea,6423212,Flora,,Kensington and Chelsea,51.48602,-0.17731,Entire home/apt,118,5,18,9/30/2019,0.71,1,111,2,
17977,16062608,Amazing Central Spacious 2 Bed House,306701,Louisa,,Hackney,51.54744,-0.03764,Entire home/apt,118,60,38,9/25/2019,0.68,2,253,3,
61443,46706013,2-bed- Prime Notting Hill - Bills Incl.- Concierge,137620869,Alexander,,Kensington and Chelsea,51.50984,-0.19272,Entire home/apt,118,5,0,,,1,0,0,
4494,4766617,Amazing Flat In Central London,22653497,Maya,,Kensington and Chelsea,51.5195,-0.21018,Entire home/apt,118,1,0,,,1,0,0,
12377,11780745,Cosy Studio by Kensington High St.,62728764,Karim,,Kensington and Chelsea,51.49902,-0.19242,Private room,118,3,68,2/23/2020,1.06,2,361,0,
16882,15154778,Chic Artistic home in Notting Hill,2048459,Elise,,Kensington and Chelsea,51.51586,-0.20267,Entire home/apt,118,3,53,8/7/2021,1.07,1,253,9,
37211,28877881,Beautiful 1 Bedroom Apartment in Chelsea,11178737,Sarah,,Kensington and Chelsea,51.48362,-0.17508,Entire home/apt,118,2,35,12/29/2019,1.17,1,0,0,
69233,51558258,Cheerful Chelsea Studio | Luxury Building with Reception,113525410,Elizabeth,,Kensington and Chelsea,51.4920486,-0.166098921,Entire home/apt,118,5,1,8/24/2021,1.0,4,346,1,
17385,15574801,Beautiful Kensington 1BR apartment,21088145,Amanda,,Kensington and Chelsea,51.48844,-0.19046,Entire home/apt,118,2,0,,,24,33,0,
64918,49647284,Spacious studio in Kensington next to Hyde Park,70031611,Katarzyna,,Kensington and Chelsea,51.50155,-0.18867,Entire home/apt,118,4,1,7/9/2021,0.46,1,347,1,
16498,14769126,Holland Park ensuite king size double bedroom,7584576,Oliver,,Kensington and Chelsea,51.50382,-0.21101,Private room,118,2,0,,,2,364,0,
23201,19580874,Stylish Comfortable Spacious 2 Bed House,306701,Louisa,,Hackney,51.5472,-0.0395,Entire home/apt,118,1,22,8/18/2019,0.43,2,0,0,
50580,39072594,"Bright & Modern Studio Flat in Kensington, London",1922368,Ros,,Kensington and Chelsea,51.49638,-0.18709,Entire home/apt,118,2,4,11/14/2019,0.17,5,0,0,
24407,20127799,~Dazzling Apartment in Kensington~,34590207,Billie Michelle,,Kensington and Chelsea,51.49804,-0.18863,Entire home/apt,119,2,71,12/9/2019,1.45,1,0,0,
45152,35329549,"Amazing Cute and Modern 1 bedroom, canal view.",24364444,Roman,,Hackney,51.53683,-0.08587,Entire home/apt,119,6,14,9/21/2019,0.51,21,75,1,
19965,17550176,Amazing Chelsea Flat With Stunning Balcony,20363368,Naiome,,Kensington and Chelsea,51.48335,-0.18674,Entire home/apt,119,1,17,2/27/2018,0.34,1,0,0,
51834,39865487,Spacious flat in the most desirable area of London,277975872,Alzira,,Kensington and Chelsea,51.49622,-0.17999,Entire home/apt,119,2,26,8/18/2021,1.26,2,190,10,
53250,40680349,Fantastic location in Kensington  and Chelsea.,85033159,Kate,,Kensington and Chelsea,51.4924,-0.19408,Private room,119,7,3,3/13/2020,0.16,2,0,0,
4486,4763066,Beautiful 1BD Notting Hill Flat,9679594,Eva,,Kensington and Chelsea,51.51411,-0.20142,Entire home/apt,119,14,0,,,1,0,0,
53874,41076289,"Modern and stylish 1bedroom flat, nice canal view.",24364444,Roman,,Hackney,51.53674,-0.08427,Entire home/apt,119,7,7,3/30/2020,0.34,21,75,0,
62514,48004192,2 bedroom apartment in central Shoreditch,6722102,Susie,,Hackney,51.52455,-0.077,Entire home/apt,119,10,3,8/7/2021,1.25,2,70,3,
13935,13160353,Fabulous Superior Single Room Notting Hill,1546794,Richard,,Kensington and Chelsea,51.51001,-0.19567,Private room,119,1,9,9/25/2016,0.15,4,365,0,
16430,14700077,New flat - on quiet street near Hoxton/Shoreditch,1259062,Carl,,Hackney,51.53532,-0.07379,Entire home/apt,119,5,36,5/29/2018,0.67,1,0,0,
26209,21184279,PERFECT LOCATION STUDIO FLAT NEAR SLOANE SQUARE,123548209,Irmak (MAC),,Kensington and Chelsea,51.49265,-0.16604,Entire home/apt,119,3,0,,,46,0,0,
47567,37000577,Spacious Apartment in the heart of trendy Hackney,6615999,Alana,,Hackney,51.53889,-0.07727,Entire home/apt,119,3,1,8/25/2019,0.04,1,0,0,
15970,14300513,Kick-Ass Notting Hill Studio,82436841,Max And Billie,,Kensington and Chelsea,51.51017,-0.19489,Entire home/apt,119,1,353,8/18/2021,6.08,21,169,99,
39752,30822821,"Bright, quiet and cosy flat in Chelsea",15334944,Clare,,Kensington and Chelsea,51.48347,-0.17685,Entire home/apt,119,4,20,10/2/2020,0.61,1,0,5,
51421,39604175,"Stylish and cute, modern 1bedroom on the canal",24364444,Roman,,Hackney,51.53629,-0.08408,Entire home/apt,119,7,4,11/17/2019,0.18,21,75,0,
16818,15092131,"Amazing 2 Bed Apartment in Prime Chelsea, Sleeps 4",39182457,Marina,,Kensington and Chelsea,51.48684,-0.1647,Entire home/apt,119,28,54,9/5/2021,0.91,1,10,2,
13082,12420925,Superior Single Room London Notting Hill,1546794,Richard,,Kensington and Chelsea,51.51022,-0.19724,Hotel room,119,1,3,11/30/2019,0.05,4,365,0,
27886,21962236,Cozy flat near Shoreditch,37531257,Ed,,Hackney,51.53297,-0.08151,Entire home/apt,119,3,0,,,1,0,0,
54674,41707742,"Luxury Apartment in Sloane Square, Chelsea - DP9",48165024,Capital Residencies,,Kensington and Chelsea,51.49257,-0.1615,Entire home/apt,119,2,11,8/7/2021,0.58,318,332,6,
55454,42213390,Modern & Charming Apartment in South Kensington,219610650,Diana And John,,Kensington and Chelsea,51.49099,-0.1795,Entire home/apt,119,2,0,,,33,0,0,
56060,42574720,Mezzanine Double,175999932,Ec,,Kensington and Chelsea,51.49228,-0.19741,Private room,119,3,0,,,1,0,0,
17067,15305414,Kings Road amazing 2BR with great terrace,6926556,Maya,,Kensington and Chelsea,51.48558,-0.17323,Entire home/apt,119,4,36,3/1/2019,0.62,1,0,0,
31623,24444832,Beautiful One Bed Apartment- Lower Ground Floor,128659370,Cecily,,Kensington and Chelsea,51.49628,-0.19292,Entire home/apt,119,7,36,3/16/2020,0.88,85,33,4,
4258,4580329,"Quirky double room, Shoreditch",23742148,The Dictionary,,Hackney,51.52667,-0.07755,Private room,119,1,0,,,1,365,0,
2077,1791458,Spacious 1 bed luxury apartment,6315768,Damaris,,Hackney,51.54882,-0.06785,Entire home/apt,119,5,40,9/5/2021,0.5,2,286,4,
59658,45377927,"Bright, Elegant 1BD Apartment in South Kensington!",366909873,Saif,,Kensington and Chelsea,51.49262,-0.1848,Entire home/apt,119,2,18,6/13/2021,1.76,1,0,18,
30994,23943242,South Kensington 1BD pad 5mins to Gloucester rd,96036854,StayinLondon,,Kensington and Chelsea,51.49377,-0.18707,Entire home/apt,119,2,42,3/9/2020,1.54,2,84,4,
40678,31672196,Light and modern very close to metro,10798674,Gemma,,Hackney,51.54903,-0.0433,Entire home/apt,119,4,4,7/10/2021,0.19,2,317,1,
25327,20665236,Beautiful loft-style apartment in trendy Hackney,6612645,Henry,,Hackney,51.55204,-0.04303,Entire home/apt,120,2,5,1/5/2019,0.1,1,0,0,
20995,18197695,"Beautiful, newly renovated Notting Hill studio.",13041036,Matt + Lola,,Kensington and Chelsea,51.52201,-0.21249,Entire home/apt,120,2,108,8/6/2021,2.57,1,345,8,
30725,23763017,Renovated studio - sleeps 3 - Heart of Chelsea,2125620,Altido,,Kensington and Chelsea,51.48942,-0.16754,Entire home/apt,120,4,18,3/21/2019,0.46,56,220,0,
21552,18608896,Lovely 3 bedroom flat in Shoreditch Park,32073249,Megan,,Hackney,51.53253,-0.08452,Entire home/apt,120,2,2,5/21/2017,0.04,1,0,0,
38620,30009175,Chic 1bed Apt. w/Balcony in Knightsbridge.,223311103,Jenny,,Kensington and Chelsea,51.49751,-0.16357,Entire home/apt,120,2,6,4/4/2019,0.19,6,0,0,
34824,27044289,Lovely Chelsea Home near The Thames,105564995,UnderTheDoormat,,Kensington and Chelsea,51.48608,-0.18739,Entire home/apt,120,1,3,12/8/2018,0.09,47,0,0,
5057,5390145,Bright modern flat in ♥ of Angel,13948166,Andre,,Hackney,51.53422,-0.09299,Entire home/apt,120,7,16,11/19/2020,0.22,1,0,1,
1731,1328637,Sunny Garden Flat on the Park,1241329,Olivia,,Hackney,51.55542,-0.05855,Entire home/apt,120,4,3,11/3/2015,0.04,1,0,0,
43218,33746508,Oasis with great access to Central London,254384030,James,,Hackney,51.57044,-0.08984,Entire home/apt,120,3,8,4/30/2019,0.28,1,0,0,
25844,20967116,"Beautiful Victorian House Clapton, East London",12931891,Katie,,Hackney,51.5532,-0.04259,Entire home/apt,120,2,0,,,1,0,0,
1505,1084977,2 Bedroom flat in London Fields Hackney,827049,Stefano,,Hackney,51.54287,-0.0558,Entire home/apt,120,7,16,6/6/2018,0.26,1,165,0,
43020,33601088,Elegant 1 bedroom flat in the heart of Shoreditch,2030838,Alexandros,,Hackney,51.53077,-0.0742,Entire home/apt,120,7,5,10/6/2019,0.19,1,0,0,
33008,25487032,A Dream Room in the Heart of Kensington & Chelsea,41882982,Emma,,Kensington and Chelsea,51.49649,-0.18387,Private room,120,2,7,6/22/2019,0.21,1,0,0,
37687,29276880,Luxury apartment in the heart of Kensington,16960277,Charlotte,,Kensington and Chelsea,51.5042,-0.19512,Entire home/apt,120,3,8,8/27/2021,0.25,2,0,1,
69075,51477182,Lovely Flat in Chelsea,17759230,Tihana,,Kensington and Chelsea,51.48384,-0.18527,Entire home/apt,120,10,0,,,1,13,0,
9153,8853486,Beautiful flat in heart of London,46075436,Kamila,,Kensington and Chelsea,51.49888,-0.16348,Entire home/apt,120,1,4,10/29/2015,0.06,1,0,0,
4298,4627167,Attractive 2-bed Flat in Heart of Chelsea,18180629,Paul,,Kensington and Chelsea,51.48709,-0.17596,Entire home/apt,120,1,0,,,1,0,0,
68904,51422880,Garden flat moments from Portobello Road,416472761,Josephine,,Kensington and Chelsea,51.52047,-0.20883,Entire home/apt,120,1,0,,,1,1,0,
39162,30368133,Modern newly renovated apartment Portobello Rd,42619762,Peter,,Kensington and Chelsea,51.51626,-0.21774,Entire home/apt,120,2,0,,,1,0,0,
38680,30042986,One bedroom apartment in Hoxton,4304618,Sam,,Hackney,51.53143,-0.08676,Entire home/apt,120,2,27,6/28/2021,0.8,1,232,1,
5160,5521641,Bright stylish 2 bd top floor flat,28634674,Chloé,,Hackney,51.5529,-0.05322,Entire home/apt,120,3,0,,,1,0,0,
33327,25876109,NEW Cosy 2 Bedroom Flat Kensington And Chelsea,28820321,Veronica,,Kensington and Chelsea,51.48619,-0.18873,Entire home/apt,120,2,17,12/2/2019,0.65,248,0,0,
2794,2844505,"Luxurious, large and perfectly located 1 bed flat",2964847,Jacob,,Hackney,51.53558,-0.08745,Entire home/apt,120,75,17,6/8/2019,0.54,1,0,0,
25342,20673980,Shoreditch Waterside Double Bedroom Flat,18525870,Nick & Mariana,,Hackney,51.5381,-0.07988,Entire home/apt,120,24,0,,,3,37,0,
4550,4808451,Luxury one bedroom apart in chelsea,7615794,Peter,,Kensington and Chelsea,51.49264,-0.16476,Entire home/apt,120,1,2,7/8/2019,0.02,1,345,0,
43578,34089581,Beautiful modern flat in the heart of Hackney,8275909,Sasha,,Hackney,51.53615,-0.06226,Entire home/apt,120,3,3,11/11/2019,0.11,1,0,0,
69041,51460873,Bright & Spacious 2 Bed Flat- on Hoxton Square!,9592979,Alev,,Hackney,51.5272,-0.08269,Entire home/apt,120,91,0,,,4,267,0,
33476,25992364,"Modern, Fun Canal Apartment, in Vibrant Shoreditch",195356381,Sam,,Hackney,51.53525,-0.06961,Entire home/apt,120,2,62,3/18/2020,1.63,1,0,0,
6078,6499982,Spacious London Fields flat with balcony,14651744,Helen,,Hackney,51.5427,-0.0561,Entire home/apt,120,21,27,7/29/2019,0.41,3,333,1,
69764,51778963,Sunny Haggerston canal side apartment,49225538,Leon,,Hackney,51.53761,-0.07692,Entire home/apt,120,5,0,,,1,59,0,
37727,29322886,Stylish room in heart of Hackney,95226506,Jane,,Hackney,51.54516,-0.05469,Private room,120,1,0,,,1,0,0,
33773,26206183,Peaceful bedroom in hip London Fields garden oasis,1294556,Emma,,Hackney,51.54426,-0.06082,Private room,120,1,0,,,3,87,0,
30408,23572101,Super Central 2 Bedroom Flat with Balcony Zone 1!,28820321,Veronica,,Hackney,51.52884,-0.08667,Entire home/apt,120,2,38,11/22/2019,1.07,248,0,0,
33807,26238914,Two bedroom flat with garden,192104960,Joanna,,Hackney,51.56394,-0.06299,Entire home/apt,120,2,1,8/12/2018,0.03,2,0,0,
21052,18240004,Lovely 4 bed family Victorian house in Hackney,55698133,Mylene,,Hackney,51.562,-0.04662,Entire home/apt,120,4,11,12/29/2018,0.24,1,0,0,
69772,51782761,BEAUTIFUL LONDON FLAT - SHOREDITCH LONDON ZONE 1,166069115,Kelly,,Hackney,51.52725953,-0.077551138,Entire home/apt,120,27,0,,,9,311,0,
25772,20924085,"Bright and Modern, One-Bed in Notting Hill",38561730,Alex,,Kensington and Chelsea,51.52028,-0.21098,Entire home/apt,120,2,17,5/28/2018,0.36,1,0,0,
44043,34433931,Lovely 1 bedroom flat in Nottinghill /Holland park,88320998,Nicolo,,Kensington and Chelsea,51.51123,-0.21026,Entire home/apt,120,2,12,10/27/2019,0.45,1,248,0,
25776,20926434,Impressive 2 Bedroom Luxury Apartment in Chelsea,150421640,Dorothy,,Kensington and Chelsea,51.48502,-0.17166,Entire home/apt,120,2,16,8/29/2019,0.38,1,0,0,
69032,51459440,"Quiet 1BR, close  to Portobello Mkt & Ladbroke GrSt, by Blueground",314162972,Blueground,,Kensington and Chelsea,51.51931,-0.218674,Entire home/apt,120,30,0,,,68,249,0,
34932,27128682,Bright & spacious apt in the heart of Shoreditch,20792327,Filipa,,Hackney,51.52373,-0.08132,Entire home/apt,120,2,1,8/19/2018,0.03,1,0,0,
37585,29200623,Chelsea Luxury Hotel Style Flat,61612942,Ioannis,,Kensington and Chelsea,51.49315,-0.16411,Entire home/apt,120,3,18,8/31/2021,0.53,1,320,5,
68636,51327071,Sleek 2 Bedroom Earls Court Flat Centre of London,28820321,Veronica,,Kensington and Chelsea,51.49447,-0.19097,Entire home/apt,120,2,0,,,248,0,0,
42975,33572573,Beautiful studio - 200 steps from NHG station,251686541,Alison,,Kensington and Chelsea,51.5106,-0.19682,Entire home/apt,120,350,7,6/18/2019,0.24,1,88,0,
41533,32404008,"Cozy Scandinavian Flat on Broadway Market, Hackney",2254664,Emma,,Hackney,51.53652,-0.06573,Entire home/apt,120,2,5,1/3/2020,0.19,1,0,0,
37007,28713657,Super Kingsize bedroom at the William IV guest House. Breakfast included.,1457604,Jean,,Kensington and Chelsea,51.52822,-0.21916,Private room,120,1,8,9/5/2021,0.26,6,335,1,
36967,28684355,"2 beds in bright, elegant, Victorian maisonette",8614552,Ben,,Hackney,51.5611,-0.06785,Private room,120,2,0,,,3,0,0,
41359,32252837,Warm Hackney Home from Award-Winning Host Awaits,3641565,Brian,,Hackney,51.54513,-0.03276,Entire home/apt,120,3,6,4/29/2019,0.21,1,0,0,
27785,21930886,Modern bijou apartment in Chelsea for couples,160038891,Hugo,,Kensington and Chelsea,51.48531,-0.18866,Entire home/apt,120,3,0,,,1,0,0,
1570,1162598,Modern 2bed/2bath - Notting Hill,6368062,Sarah,,Kensington and Chelsea,51.51433,-0.21566,Entire home/apt,120,3,131,7/19/2017,1.36,1,0,0,
40458,31484401,THE SLOANE APARTMENT,235021417,Kc,,Kensington and Chelsea,51.49133,-0.15931,Entire home/apt,120,5,12,5/30/2019,0.38,3,351,0,
136,168875,"Bright, open plan, East London flat",32410,Fabio,,Hackney,51.53593,-0.06396,Entire home/apt,120,6,0,,,1,314,0,
35971,27792016,Gorgeous mezzanine apartment in trendy Haggerston,20650729,Nicole,,Hackney,51.53936,-0.07709,Entire home/apt,120,1,3,11/4/2018,0.09,1,0,0,
27332,21734893,Entire 1 Bed with lovely private garden,24073529,Stephanie,,Hackney,51.5413,-0.08401,Entire home/apt,120,3,11,5/29/2018,0.25,1,0,4,
27206,21680529,Dan & Mattis' Shoreditch Pad,41433148,Dan,,Hackney,51.53313,-0.06447,Entire home/apt,120,2,13,6/25/2018,0.28,1,0,0,
27164,21670905,Amazing 2-Bedroom Apartment in Notting Hill,67636168,Edward,,Kensington and Chelsea,51.51128,-0.19376,Entire home/apt,120,2,3,12/16/2017,0.07,1,0,0,
22922,19441596,Designers stylish family home on London Fields,44157016,Kyle,,Hackney,51.54142,-0.06114,Entire home/apt,120,4,9,12/29/2019,0.35,1,0,0,
36347,28129567,NEW Modern 2BD Flat in Shoreditch with Balcony,28820321,Veronica,,Hackney,51.53057,-0.08591,Entire home/apt,120,2,38,7/12/2019,1.07,248,0,0,
27031,21606261,Charming Chelsea Apartment,62006804,James,,Kensington and Chelsea,51.48519,-0.18555,Entire home/apt,120,3,86,3/6/2020,2.01,1,263,8,
27002,21592938,Stunning One Bedroom Apartment in Chelsea,156763681,Almeida,,Kensington and Chelsea,51.48671,-0.17805,Entire home/apt,120,2,0,,,1,0,0,
24972,20446389,Newly furnished near Shepherd's Bush - Sleeps 4-5,13481871,Christina,,Kensington and Chelsea,51.50082,-0.21047,Entire home/apt,120,2,21,7/9/2018,0.44,1,0,0,
22725,19288680,Huge One Bedroom Flat in Heart of Shoreditch!!,3737102,Olly And James,,Hackney,51.52511,-0.07821,Entire home/apt,120,5,9,10/27/2018,0.18,1,0,0,
26772,21494687,Bright 1 Bed Flat sleeps 4 near Portobello Road,7203203,Ada,,Kensington and Chelsea,51.52261,-0.22112,Entire home/apt,120,7,18,8/1/2019,0.4,3,68,0,
22787,19344915,Stylish one bedroom apartment with balcony,86394587,Ask,,Kensington and Chelsea,51.51233,-0.21686,Entire home/apt,120,7,2,12/28/2017,0.04,1,0,0,
22823,19363685,Super Comfortable Pop Art Studio,49174807,Hoxton,,Hackney,51.52952,-0.08484,Entire home/apt,120,7,37,6/30/2021,1.49,3,83,5,
1854,1464546,"Trendy London Fields flat, *view!*",674589,Edward,,Hackney,51.53596,-0.06101,Entire home/apt,120,3,18,8/22/2021,0.19,1,72,8,
36757,28484234,2 BR heart of Hackney Wick-next to Olympic Stadium,17776857,Sam,,Hackney,51.5447,-0.02612,Entire home/apt,120,1,6,6/2/2019,0.2,1,0,0,
26819,21523290,Elegant 2 bed flat in Notting Hill,156415653,Octavia,,Kensington and Chelsea,51.52109,-0.20709,Entire home/apt,120,2,29,11/29/2019,0.69,1,0,0,
36696,28449357,Central London Flat,5385335,Malin,,Kensington and Chelsea,51.49067,-0.19167,Entire home/apt,120,5,0,,,1,87,0,
23074,19520842,Cute 1 bedroom balcony flat in converted church,69091791,James,,Hackney,51.56499,-0.07314,Entire home/apt,120,2,2,10/8/2017,0.04,1,0,0,
24001,19940475,A Beautiful and Spacious 1-Bed in Earls Court,63836340,Jean-Baptiste,,Kensington and Chelsea,51.49063,-0.19424,Entire home/apt,120,2,5,9/13/2017,0.1,1,0,0,
8951,8643125,"Elegant, bright and spacious 3-bed maisonette",8614552,Ben,,Hackney,51.56034,-0.06567,Entire home/apt,120,1,12,10/8/2019,0.49,3,0,0,
41981,32759811,THE CHELSEA JEWEL,235021417,Kc,,Kensington and Chelsea,51.48928,-0.16942,Entire home/apt,120,7,0,,,3,353,0,
2717,2709352,Spacious flat with loft conversion,10301116,Constantinos,,Kensington and Chelsea,51.52331,-0.20772,Entire home/apt,120,3,116,8/22/2021,1.35,1,16,10,
28215,22147523,Earls Court - Cosy Double Bedroom,8842987,Arthur,,Kensington and Chelsea,51.49026,-0.19298,Private room,120,1,4,12/29/2017,0.09,1,90,0,
39762,30849307,"Modern 2Bed, Earl’s Court, Sleeps 5, 5min to Stn",219610650,Diana And John,,Kensington and Chelsea,51.48986,-0.19556,Entire home/apt,120,2,21,12/7/2019,0.67,33,103,0,
134,168348,"Feel at Home in a Charming, Bright, Central Apartment in Notting Hill",802297,Alexandra,,Kensington and Chelsea,51.51755,-0.20159,Entire home/apt,120,4,150,8/21/2019,1.27,1,303,4,
5897,6347826,Spacious 2 Bedroom Flat  by the Canal,12346944,Mariana,,Hackney,51.53225,-0.09428,Entire home/apt,120,3,12,7/31/2019,0.27,1,0,0,
68641,51329434,Stylish entire 2 bedrooms apartment in Shoreditch,958996,Marc,,Hackney,51.53019,-0.08619,Entire home/apt,120,5,0,,,1,22,0,
23799,19843185,"Perfect London flat, ideal Notting Hill location.",39709012,Otis,,Kensington and Chelsea,51.5079,-0.20088,Entire home/apt,120,4,22,1/4/2020,0.56,1,364,0,
